0.75 0.75
0.875 0.8125
0.7917 0.8056
0.875 0.8229
0.875 0.8333
0.7083 0.8125
0.875 0.8214
1 0.8437
0.75 0.8333
0.75 0.825
0.9583 0.8371
0.875 0.8403
0.875 0.8429
0.8333 0.8423
0.75 0.8361
0.8333 0.8359
0.75 0.8309
0.7917 0.8287
0.7917 0.8268
0.875 0.8292
0.75 0.8254
0.7917 0.8239
0.7917 0.8225
0.8333 0.8229
0.875 0.825
0.875 0.8269
0.8333 0.8272
0.8333 0.8274
0.7917 0.8261
0.875 0.8278
0.75 0.8253
0.875 0.8268
0.7917 0.8258
0.7917 0.8248
0.75 0.8226
0.875 0.8241
0.75 0.8221
0.8333 0.8224
0.875 0.8237
0.7083 0.8208
0.9167 0.8232
0.75 0.8214
0.875 0.8227
0.75 0.821
0.75 0.8194
0.8333 0.8197
0.6667 0.8165
0.9167 0.8186
0.7917 0.818
0.75 0.8167
0.75 0.8154
0.8333 0.8157
0.9167 0.8176
0.7917 0.8171
0.875 0.8182
0.7083 0.8162
0.75 0.8151
0.8333 0.8154
0.75 0.8143
0.7083 0.8125
0.7917 0.8122
0.7917 0.8118
0.7917 0.8115
0.9167 0.8132
0.75 0.8122
0.875 0.8131
0.75 0.8122
0.7917 0.8119
0.6667 0.8098
0.7917 0.8095
0.875 0.8104
0.75 0.8096
0.7917 0.8094
0.8333 0.8097
0.875 0.8106
0.875 0.8114
0.9167 0.8128
0.7917 0.8125
0.6667 0.8107
0.7083 0.8094
0.7917 0.8092
0.5417 0.8059
0.7083 0.8047
0.9167 0.8061
0.75 0.8054
0.875 0.8062
0.7917 0.806
0.9167 0.8073
0.875 0.8081
0.875 0.8088
0.7083 0.8077
0.75 0.8071
0.9583 0.8087
0.9167 0.8098
0.6667 0.8083
0.5417 0.8056
0.6667 0.8041
0.75 0.8036
0.625 0.8018
0.8333 0.8021
0.7917 0.802
0.8333 0.8023
0.875 0.803
0.7917 0.8029
0.9583 0.8044
0.875 0.805
0.7083 0.8041
0.7917 0.804
0.8333 0.8043
0.875 0.8049
0.8333 0.8052
0.7917 0.8051
0.75 0.8046
0.6667 0.8034
0.7917 0.8033
0.7917 0.8032
0.8333 0.8034
0.875 0.804
0.7917 0.8039
0.6667 0.8028
0.625 0.8013
0.7083 0.8005
0.75 0.8001
0.75 0.7997
0.9167 0.8007
0.875 0.8013
0.9167 0.8022
0.9167 0.8031
0.875 0.8036
0.8333 0.8038
0.6667 0.8028
0.7917 0.8027
0.8333 0.8029
0.7917 0.8029
0.7917 0.8028
0.7083 0.8021
0.875 0.8026
0.8333 0.8028
0.9167 0.8037
0.7083 0.803
0.7083 0.8023
0.75 0.8019
0.7917 0.8019
0.9167 0.8027
0.75 0.8023
0.75 0.8019
0.625 0.8007
0.7083 0.8001
0.875 0.8006
0.75 0.8003
0.75 0.7999
0.7083 0.7993
0.7917 0.7993
0.7917 0.7992
0.7917 0.7992
0.75 0.7989
0.75 0.7986
0.7083 0.798
0.7083 0.7974
0.8333 0.7977
0.9167 0.7984
0.6667 0.7976
0.6667 0.7968
0.875 0.7973
0.7083 0.7967
0.875 0.7972
0.9167 0.7979
0.875 0.7984
0.7917 0.7983
0.75 0.798
0.9167 0.7987
0.7917 0.7987
0.9583 0.7996
0.7083 0.7991
0.7917 0.799
0.9583 0.8
0.7917 0.7999
0.9167 0.8006
0.75 0.8003
0.75 0.8
0.7917 0.8
0.9167 0.8006
0.75 0.8003
0.875 0.8007
0.625 0.7998
0.7083 0.7993
0.875 0.7997
0.875 0.8001
0.7083 0.7996
0.875 0.8
0.7917 0.8
0.7083 0.7995
0.8333 0.7997
0.9167 0.8003
0.9167 0.8009
0.7917 0.8008
0.6667 0.8001
0.6667 0.7995
0.7083 0.799
0.8333 0.7992
0.75 0.7989
0.9167 0.7995
0.875 0.7999
0.75 0.7996
0.8333 0.7998
0.625 0.7989
0.75 0.7987
0.9583 0.7995
0.7917 0.7994
0.8333 0.7996
0.7917 0.7996
0.75 0.7993
0.75 0.7991
0.8333 0.7993
0.875 0.7996
0.9167 0.8002
0.9167 0.8007
0.8333 0.8008
0.7917 0.8008
0.7917 0.8008
0.875 0.8011
0.75 0.8009
0.8333 0.801
0.875 0.8013
0.7917 0.8013
0.7917 0.8013
0.875 0.8016
0.7917 0.8015
0.7083 0.8011
0.75 0.8009
0.7083 0.8005
0.7083 0.8001
0.8333 0.8003
0.75 0.8
0.7917 0.8
0.75 0.7998
0.9167 0.8003
0.75 0.8001
0.8333 0.8002
0.75 0.8
0.8333 0.8001
0.8333 0.8003
0.75 0.8001
0.7083 0.7997
0.9167 0.8002
0.8333 0.8003
0.8333 0.8004
0.875 0.8007
0.75 0.8005
0.875 0.8008
0.8333 0.801
0.9167 0.8014
0.9167 0.8019
0.75 0.8017
0.625 0.801
0.75 0.8008
0.7083 0.8004
0.6667 0.7999
0.875 0.8002
0.7917 0.8002
0.7917 0.8001
0.9167 0.8006
0.7083 0.8002
0.7917 0.8002
0.875 0.8005
0.8333 0.8006
0.7083 0.8002
0.8333 0.8004
0.7917 0.8003
0.875 0.8006
0.8333 0.8007
0.875 0.801
0.9583 0.8016
0.7917 0.8016
0.9167 0.802
0.8333 0.8021
0.875 0.8023
0.9167 0.8028
0.9167 0.8032
0.9167 0.8036
0.7917 0.8035
0.875 0.8038
0.75 0.8036
0.6667 0.8031
0.7917 0.8031
0.7917 0.803
0.75 0.8028
0.7083 0.8025
1 0.8032
0.7917 0.8032
0.7083 0.8028
0.875 0.8031
0.9167 0.8035
0.75 0.8033
0.8333 0.8034
0.5833 0.8026
0.7083 0.8023
0.625 0.8017
0.7083 0.8014
0.75 0.8012
0.75 0.8011
0.7083 0.8008
0.75 0.8006
0.6667 0.8002
0.8333 0.8003
0.8333 0.8004
0.7917 0.8004
0.6667 0.7999
0.7083 0.7996
0.7917 0.7996
0.875 0.7998
0.6667 0.7994
0.7083 0.7991
0.875 0.7994
0.7917 0.7993
0.7083 0.7991
0.8333 0.7992
0.75 0.799
0.875 0.7992
0.7917 0.7992
0.7083 0.7989
0.75 0.7988
0.75 0.7986
0.75 0.7985
0.7917 0.7985
0.75 0.7983
0.7083 0.798
0.9583 0.7985
0.8333 0.7986
0.7917 0.7986
0.875 0.7988
0.7917 0.7988
0.75 0.7987
0.9167 0.799
0.7917 0.799
0.625 0.7985
0.7917 0.7985
0.7083 0.7982
0.75 0.7981
0.8333 0.7982
0.7083 0.7979
0.8333 0.798
0.625 0.7975
0.75 0.7974
0.7083 0.7971
0.75 0.797
0.7917 0.797
0.75 0.7968
0.875 0.797
0.8333 0.7971
0.7917 0.7971
0.8333 0.7972
0.7917 0.7972
0.75 0.7971
0.8333 0.7972
0.875 0.7974
0.7917 0.7974
0.75 0.7973
0.6667 0.7969
0.5417 0.7962
0.7917 0.7962
0.5417 0.7955
0.9583 0.7959
0.75 0.7958
0.7917 0.7958
0.8333 0.7959
0.8333 0.796
0.7083 0.7957
0.8333 0.7958
0.6667 0.7955
0.7083 0.7953
0.6667 0.7949
0.7917 0.7949
0.8333 0.795
0.875 0.7952
0.5417 0.7945
0.875 0.7948
0.7917 0.7948
0.7083 0.7945
0.875 0.7947
0.875 0.7949
0.9167 0.7953
0.75 0.7951
0.875 0.7954
0.875 0.7956
0.7083 0.7953
0.8333 0.7954
0.875 0.7956
0.9583 0.7961
0.875 0.7963
0.8333 0.7964
0.8333 0.7964
0.75 0.7963
0.8333 0.7964
0.75 0.7963
0.6667 0.796
0.6667 0.7957
0.6667 0.7953
0.7917 0.7953
0.875 0.7955
0.75 0.7954
0.75 0.7953
0.8333 0.7954
0.8333 0.7955
0.8333 0.7956
0.875 0.7958
0.875 0.796
0.8333 0.7961
0.75 0.7959
0.7917 0.7959
0.8333 0.796
0.7083 0.7958
0.6667 0.7955
0.75 0.7954
0.8333 0.7955
0.7083 0.7953
0.75 0.7952
0.875 0.7954
0.7917 0.7953
